Comentario,Label
Todo perfecto. Muy recomendable.,1
Me llegó incompleto.,0
Me llegó incompleto. No lo recomiendo,0
Relación calidad-precio excelente,1
No volvería a comprar,0
Muy mala experiencia,0
Me llegó incompleto. Mala atención al cliente,0
Relación calidad-precio excelente Sin duda volvería a comprar.,1
Mala atención al cliente,0
No era lo que esperaba,0
No era lo que esperaba. El envío se demoró demasiado,0
Mala atención al cliente,0
Llegó tarde,0
No volveré a comprar. Fue una pérdida de dinero.,0
No era lo que esperaba. No cumplió mis expectativas.,0
Buena calidad. Lo recomiendo totalmente.,1
No era lo que esperaba,0
Relación calidad-precio excelente,1
Producto llegó a tiempo. Estoy feliz con el resultado.,1
No era lo que esperaba. Sin duda no volvería a comprar.,0
Mala atención al cliente. No cumplió mis expectativas.,0
Llegó tarde. No cumplió mis expectativas.,0
Mi pedido llegó a tiempo. Lo recomiendo totalmente.,1
No era lo que esperaba. No cumplió mis expectativas.,0
Relación calidad-precio excelente. El envío fue rápido.,1
Relación calidad-precio excelente. Estoy feliz con el resultado.,1
Muy mala experiencia.,0
No era lo que esperaba. El pedido nunca llegó,0
No volvería a comprar. No me dieron una solución a mi problema,0
No era lo que esperaba. El pedido nunca llegó,0
No lo recomendaría.,0
Relaciín calidad-precio excelente. Atencin al cliente muy buena.,1
Mala atención al cliente Sin duda no volvería a comprar.,0
Mala atención al cliente,0
El envío se demoró demasiado,0
Muy recomendable. Pedido en excelentes condiciones,1
No era lo que esperaba,0
Muy recomendable,1
Buena calidad de productos. Lo recomiendo totalmente.,1
Muy recomendable El envo fue muy rápido.,1
Mi pedido me llegó incompleto,0
Relación calidad-precio excelente. Tienen muchas opciones por elegir ,1
No volveré a comprar. No lo recomendaría.,0
No volveré a comprar porque la atención al cliente es deficiente.,0
Mala atencin al cliente. No lo recomendara.,0
Producto llegó a tiempo. Muy recomendable.,1
El pedido llegó con retraso de varios dias,0
Buena calidad de tazas,1
Muy recomendable,1
Mucha variedad de productos y categorías,1
Buena calidad. El envío fue rápido.,1
Mala atención al cliente Fue una pérdida de dinero.,0
Relación calidad-precio excelente Lo recomiendo totalmente.,1
Muy mala experiencia con sus productos.,0
Los precios son muy buenos,1
"Buena calidad, recomendado.",1
"No vuelvo a comprar, no lo recomiendo.",0
Me llegó incompleto. Atención deficiente.,0
"Muy recomendable, estoy feliz con el resultado.",1
"Relación calidad-precio excelente, cumplió mis expectativas.",1
"Mala atención al cliente, no me gustó el resultado",0
"Relación calidad-precio excelente, buena atención.",1
"No volver a comprar, para nada recomendable.",0
"Llegó tarde, no cumplió mis expectativas.",0
"Mala atención al cliente, atención deficiente.",0
"Me llegó incompleto, horrible servicio.",0
"Relación calidad-precio excelente, sin duda volveré a comprar.",1
Mala atención al cliente servicio pésimo,0
Mala atención al cliente horrible servicio,0
Llegó tarde pésimo servicio,0
Me llegó incompleto no volveré a comprar,0
Mala atención al cliente fue una pérdida de dinero.,0
No volveré a comprar el envío fue lento.,0
Muy satisfecho con mi compra estoy feliz con el resultado,1
Relación calidad precio muy recomendable,1
Llegó a tiempo buena atención,1
El producto llegó a tiempo muy buen servicio ,1
El producto me llegó incompleto nada recomendable.,0
Mala atención al cliente atención deficiente,0
Estoy muy satisfecho con mi compra cumplió con mis expectativas,1
Me llegó incompleto no lo recomiendo para nada,0
Mala atención al cliente el envío fue demasiado lento,0
Muy recomendable me gustó mucho,1
Todo perfecto me encantó el producto,1
El periódico no demoró nada invertí bien mi dinero,1
No voy a volver a comprar el producto no me gustó,0
Todo perfecto sin duda volvería a comprar,1
No voy a volver a comprar la atención fue muy mala,0
Estoy muy satisfecho con mi compra cumplió mis expectativas al 100%,1
Muy buena calidad sin duda volveré a comprar,1
Mala atención al cliente pésimo servicio,0
Relación calidad precio excelente muy buen servicio,1
"Relación calidad precio excelente, voy a comprar otra vez",1
Muy satisfecho con mi compra el envío fue muy rápido,1
Excelente servicio el envío fue rápido,1
El producto llegó a tiempo volveré a comprar,1
El producto llegó a tiempo estoy feliz con el resultado,1
No volveré a comprar el producto está en mal estado,0
No era lo que esperaba no lo recomiendo,0
Buena calidad lo compraré otra vez,1
Muy mal la experiencia fue una pérdida de dinero,0
Excelente servicio voy a volver a comprar ,1
Relación calidad precio excelente sin duda volveré a comprar,1
Excelente servicio he invertido bien mi dinero,1
Llegó tarde estoy muy molesto con el resultado,0
Relación calidad precio muy buena atención decente,1
Muy recomendable lo recomiendo demasiado,1
Muy mal la experiencia servicio pésimo,0
No voy a volver a comprar no lo recomiendo para nada,0
"No volveré a comprar, no me gustó el producto",0
"Todo llegó perfecto, voy a volver a comprar de nuevo",1
No era lo que esperaba qué pésimo servicio,0
No volveré a comprar qué mal servicio,0
No era lo que esperaba estoy muy triste con el resultado,0
"No me gustó para nada el producto, no volveré a comprar",0
Buena calidad sin duda volveré a comprar,1
No era lo que esperaba no volveré a comprar,0
Relación calidad precio excelente el envío fue rápido,1
Relación calidad precio excelente estoy feliz con el resultado,1
Muy buen servicio recomendado,1
"Relación calidad precio bueno, muy recomendable.",1
"No es lo que esperaba, no lo recomiendo",0
Excelente servicio muy recomendado,1
Muy buena relación calidad precio compraré de nuevo,1
"Muy recomendado, estoy feliz con el resultado",1
"Me llegó incompleto, atención deficiente",0
Buena calidad muy recomendado,1
El producto llegó a tiempo muy recomendado,1
Estoy muy satisfecho con mi compra fue una buena experiencia,1
Todo perfecto cumplió mis expectativas,1
El producto llegó a tiempo muy recomendado,1
Relación calidad precio excelente lo recomiendo mucho,1
Buena calidad lo recomiendo,1
"No lo volveré a comprar, pésimo servicio",0
"Relación calidad precio excelente, sin duda volveré a comprar",1
Todo perfecto servicio excelente,1
El producto llegó en perfectas condiciones muy buen servicio,1
Todo llegó perfecto muy recomendado,1
No lo volveré a comprar qué mal servicio,0
Llego tarde servicio pésimo,0
El producto llegó a tiempo lo recomiendo mucho,1
No lo volveré a comprar no me gusta el producto,0
No lo volveré a comprar el envío fue muy lento,0
No lo volveré a comprar no cumplió con mis expectativas,0
Relación calidad precio excelente el envío fue rápido,1
Buena calidad muy buena atención,1
Mala atención al cliente no lo recomiendo,0
"No lo volveré a comprar, pesimo servicio",0
Muy mala experiencia no lo recomiendo,0
"Muy satisfecho con mi compra, compraré de nuevo",1
Relación calidad precio excelente el envío fue muy rápido,1
Excelente servicio lo compraré otra vez,1
No era lo que esperaba no lo recomiendo,0
Muy buena relación calidad precio el envío fue rápido,1
No era lo que esperaba muy mala atención,0
Mala atención al cliente fue una pérdida de dinero,0
No era lo que esperaba no volveré a comprar,0
"Relación calidad precio excelente, lo recomiendo",1
Muy buena relación calidad precio buen servicio,1
El producto llegó a tiempo excelente atención,1
Lo recomiendo mucho sin duda volveré a comprar,1
Me llegó incompleto no volveré a comprar,0
Mala atención al cliente fue una pérdida de dinero,0
Muy satisfecho con mi compra lo recomiendo mucho,1
Muy mala experiencia no volveré a comprar,0
Relación calidad precio excelente lo recomiendo,1
Todo perfecto cumplió con mis expectativas,1
Muy buena calidad lo recomiendo,1
No era lo que esperaba fue una pérdida de dinero,0
Fue un excelente servicio cumplió con todas mis expectativas,1
Llego tarde no volveré a comprar,0
No lo volveré a comprar pésimo servicio,0
Muy mala atención no lo recomiendo,0
Buena calidad lo compraré otra vez,1
Llego tarde fue una pérdida de dinero,0
Relación calidad precio excelente muy buen servicio,1
Muy mala experiencia el pedido se demoró demasiado,0
Me llegó incompleto fue una pérdida de dinero,0
El producto llegó a tiempo lo recomiendo,1
No lo volveré a comprar no lo recomiendo,0
Muy mala experiencia no cumplió mis expectativas,0
Muy buena calidad cumplió mis expectativas,1
Muy recomendable buen servicio,1
No lo volvería a comprar no lo recomiendo,0
Buena calidad lo recomiendo totalmente,1
Relación calidad precio excelente lo recomiendo mucho,1
Mala atención al cliente no lo recomiendo,0
Excelente servicio estoy feliz con el resultado,1
No lo volveré a comprar no lo recomiendo,0
Mala atención al cliente no lo recomiendo,0
Mala atención al cliente no cumplió mis expectativas,0
El producto llegó a tiempo sin dudas volveré a comprar,1
Muy buena calidad lo recomiendo,1
Relación calidad precio excelente no cumplió mis expectativas,1
Buena calidad le recomiendo,1
Muy mala experiencia no volveré a comprar,0
Buena calidad fue una buena compra,1
El producto llegó a tiempo lo recomiendo,1
Muy mala experiencia no lo recomiendo,0
Todo perfecto lo compraré de nuevo,1
El producto llegó a tiempo estoy feliz con el resultado,1
El producto llegó perfecto muy recomendable,1
Más la atención al cliente no lo recomiendo,0
Todo perfecto lo recomiendo mucho,1
No volveré a comprar se demoró mucho el envío,0
"El producto llegó a tiempo, el envío fue rápido, lo recomiendo",1
"Muy satisfecho con mi compra, lo recomiendo totalmente",1
"Mala atención al cliente, por lo que no volveré a comprar.",0
"No volveré a comprar, aunque diga que es muy recomendable.",0
Llegó tarde y la atención fue deficiente.,0
No volveré a comprar y no lo recomendaría.,0
Buena calidad y sin duda volveré a comprar.,1
Tuve una muy mala experiencia y no volveré a comprar.,0
"Tuve una muy mala experiencia, aunque el envío fue rápido.",0
Tuve una muy mala experiencia y no volveré a comprar.,0
Muy recomendable y el servicio fue excelente.,1
"Mala atención al cliente, aunque el envío fue rápido.",0
El producto llegó a tiempo y el servicio fue excelente.,1
"No volveré a comprar, aunque el servicio haya sido excelente.",0
El producto llegó a tiempo y estoy feliz con el resultado.,1
No volveré a comprar porque no cumplió mis expectativas.,0
"Mala atención al cliente, aunque el envío fue rápido.",0
Muy satisfecho con mi compra y estoy feliz con el resultado.,1
Muy recomendable y el envío fue rápido.,1
Relación calidad-precio excelente y el envío fue rápido.,1
Llegó tarde y el servicio no fue bueno.,0
Buena calidad y muy recomendable.,1
"Relación calidad-precio excelente, sin duda volveré a comprar.",1
"Mala atención al cliente, aunque el servicio fue excelente.",0
"Tuve una muy mala experiencia, aunque estoy feliz con el resultado.",0
Muy recomendable y lo recomiendo totalmente.,1
"La relación calidad-precio fue excelente, aunque no cumplió mis expectativas.",1
"No volveré a comprar, aunque diga que es muy recomendable.",0
No era lo que esperaba y no lo recomendaría.,0
"La relación calidad-precio fue excelente, aunque no lo recomendaría.",1
"El producto llegó a tiempo, aunque no cumplió mis expectativas.",1
Tuve una muy mala experiencia y no cumplió mis expectativas.,0
Excelente servicio y atención.,1
El producto llegó a tiempo y el envío fue rápido.,1
"Buena calidad, aunque fue una pérdida de dinero.",1
"Me llegó incompleto, aunque el servicio fue excelente.",0
"La relación calidad-precio fue excelente, aunque fue una pérdida de dinero.",1
"Me llegó incompleto, pero el envío fue rápido.",0
"Mala atención al cliente, aunque el envío fue rápido.",0
Tuve una muy mala experiencia y no cumplió mis expectativas.,0
Todo fue perfecto y el servicio excelente.,1
El producto llegó a tiempo y el envío fue rápido.,1
Me llegó incompleto y fue una pérdida de dinero.,0
"No volveré a comprar, aunque lo recomienden totalmente.",0
"La relación calidad-precio fue excelente, aunque no cumplió mis expectativas.",1
Excelente servicio y sin duda volveré a comprar.,1
No volveré a comprar y no cumplió mis expectativas.,0
"Excelente servicio, aunque fue una pérdida de dinero.",1
No volveré a comprar y no lo recomendaría.,0
Me llegó incompleto y no cumplió mis expectativas.,0
Muy recomendable y sin duda volveré a comprar.,1
"No volveré a comprar, aunque diga que sin duda volveré a comprar.",0
"Mala atención al cliente, no volveré a comprar.",0
"No era lo que esperaba, por lo tanto no lo recomiendo.",0
Me llegó incompleto y fue una pérdida de dinero.,0
"El servicio fue excelente, aunque no cumplió mis expectativas.",1
No era lo que esperaba y la atención fue deficiente.,0
Todo fue perfecto y sin duda volveré a comprar.,1
Excelente relación calidad-precio y sin duda volveré a comprar.,1
No era lo que esperaba y no cumplió mis expectativas.,0
El servicio fue excelente y muy recomendable.,1
El producto llegó a tiempo y sin duda volveré a comprar.,1
"No era lo que esperaba, por eso no lo recomiendo.",0
El servicio fue excelente y sin duda volveré a comprar.,1
Mala atención al cliente y no lo recomendaría.,0
"Tuve una muy mala experiencia, no volveré a comprar.",0
"Buena relación calidad-precio, aunque no cumplió mis expectativas.",1
"Tuve una muy mala experiencia, aunque el servicio fue bueno.",0
"Mala atención al cliente, a pesar de un buen servicio.",0
Todo fue perfecto y lo recomiendo totalmente.,1
"No volveré a comprar, aunque diga que lo haría.",0
"No volveré a comprar, aunque el envío fue rápido.",0
No era lo que esperaba y no cumplió mis expectativas.,0
No era lo que esperaba y fue una pérdida de dinero.,0
Todo fue perfecto y muy recomendable.,1
"Estoy satisfecho con mi compra, aunque la atención fue deficiente.",1
Todo fue perfecto y muy recomendable.,1
No era lo que esperaba y fue una pérdida de dinero.,0
Buena calidad y el servicio fue excelente.,1
Excelente relación calidad-precio y lo recomiendo totalmente.,1
"Buena calidad, aunque la atención fue deficiente.",1
La relación calidad-precio fue excelente y el envío fue rápido.,1
Estoy muy satisfecho con mi compra y el envío fue rápido.,1
"No volveré a comprar, a pesar de estar feliz con el resultado.",0
Muy recomendable y sin duda volveré a comprar.,1
Todo fue perfecto y estoy feliz con el resultado.,1
La relación calidad-precio fue excelente y el servicio también.,1
Mala atención al cliente y no cumplió mis expectativas.,0
No volveré a comprar y no lo recomendaría.,0
"Tuve una muy mala experiencia, no lo recomendaría.",0
Excelente relación calidad-precio y muy recomendable.,1
Mala atención al cliente y atención deficiente.,0
Lleg tarde Sin duda volver a comprar.,0
"No volveré a comprar, aunque lo recomienden.",0
El servicio fue excelente en todos los aspectos.,1
"No volveré a comprar, aunque lo recomienden.",0
"El producto llegó a tiempo, aunque la atención fue deficiente.",1
El pedido llegó tarde y no lo recomendaría.,0
Excelente servicio y muy recomendable.,1
Excelente relación calidad-precio y lo recomiendo totalmente.,1
"No volveré a comprar, aunque el envío fue rápido.",0
El pedido llegó tarde y no lo recomendaría.,0
Tuve una muy mala experiencia y fue una pérdida de dinero.,0
Mala atención al cliente y fue una pérdida de dinero.,0
"Buena relación calidad-precio, aunque no lo recomendaría.",1
Buena calidad y sin duda volveré a comprar.,1
"La atención al cliente fue mala, no lo recomiendo.",0
"Fue una muy mala experiencia, aunque el envío fue rápido.",0
"No volveré a comprar, aunque el envío fue rápido.",0
Excelente relación calidad-precio y sin duda volveré a comprar.,1
"La relación calidad-precio fue buena, aunque terminó siendo una pérdida de dinero.",1
"El pedido llegó tarde, a pesar de un servicio excelente.",0
No era lo que esperaba y la atención fue deficiente.,0
Buena calidad y sin duda volveré a comprar.,1
El producto llegó a tiempo y estoy feliz con el resultado.,1
"No era lo que esperaba, aunque estoy feliz con el resultado.",0
"La relación calidad-precio fue buena, aunque no cumplió mis expectativas.",1
Buena calidad y estoy feliz con el resultado.,1
Excelente servicio y muy recomendable.,1
Buena calidad y el servicio fue excelente.,1
"No volveré a comprar, fue una pérdida de dinero.",0
"Todo fue perfecto, aunque no cumplió del todo mis expectativas.",1
Mala atención al cliente y no lo recomendaría.,0
No volveré a comprar y no lo recomendaría.,0
Todo fue perfecto y lo recomiendo totalmente.,1
"Mala atención al cliente, la experiencia no fue satisfactoria.",0
"Mala atención al cliente, no lo recomendaría.",0
La atención al cliente fue mala y fue una pérdida de dinero.,0
"No era lo que esperaba, aunque el envío fue rápido no compensó.",0
"No volveré a comprar, aunque el servicio fue excelente.",0
"El servicio fue excelente, aunque no cumplió mis expectativas.",1
El pedido llegó tarde y la atención fue deficiente.,0
"No volveré a comprar, a pesar de estar feliz con el resultado.",0
El pedido llegó tarde y no cumplió mis expectativas.,0
Mala atención al cliente y no lo recomendaría.,0
La relación calidad y precio fue excelente y el envío fue rápido.,1
Mala atención al cliente y no lo recomendaría.,0
El producto llegó tarde y no cumplió mis expectativas.,0
"El servicio fue excelente, aunque fue una pérdida de dinero.",1
No era lo que esperaba y fue una pérdida de dinero.,0
El producto llegó incompleto y no cumplió mis expectativas.,0
La atención al cliente fue mala y fue una pérdida de dinero.,0
"Excelente relación calidad y precio, lo recomiendo totalmente.",1
"Buena relación calidad y precio, aunque la atención fue deficiente.",1
"No volveré a comprar, la experiencia fue decepcionante.",0
Buena calidad Servicio excelente.,1
El producto llegó a tiempo y sin duda volveré a comprar.,1
Mala atención al cliente y no cumplió mis expectativas.,0
No era lo que esperaba y no estoy feliz con el resultado.,0
"Muy mala experiencia, no estoy feliz con el resultado.",0
Mala atención al cliente y no volveré a comprar.,0
No volveré a comprar aunque lo recomiendan totalmente.,0
Buena calidad y el envío fue rápido.,1
No era lo que esperaba y no volveré a comprar.,0
No volveré a comprar porque no estoy feliz con el resultado.,0
"Muy satisfecho con mi compra, aunque no lo recomendaría.",1
El producto llegó a tiempo,1
"No volveré a comprar, aunque estoy feliz con el resultado.",0
Todo perfecto Estoy feliz con el resultado.,1
"No volveré a comprar, porque el envío no fue rápido.",0
Excelente servicio y atención excelente.,1
La relación entre el precio y la calidad fue excelente y quedé satisfecho con mi compra.,1
"Excelente relación entre calidad y precio, definitivamente lo recomiendo.",1
"Llegó tarde, no estoy feliz con el resultado.",0
"Llegó tarde, no lo recomiendo totalmente.",0
"Buena calidad, el envío fue rápido.",1
"El producto llegó a tiempo, el envío fue rápido.",1
El producto llegó a tiempo.,1
"Excelente servicio, el envío fue rápido",1
"Muy recomendable, sin duda volvería a comprar.",1
"Relación calidad,precio excelente",1
"No volvería a comprar, fue una prdida de dinero.",0
"Muy recomendable, cumplió mis expectativas.",1
"Me llegó incompleto, sin duda no volvería a comprar.",0
"Mala atención al cliente, fue una perdida de dinero.",0
Mala atención al cliente. ,0
Muy satisfecho con mi compra.,1
Estoy muy satisfecho con mi compra y la recomiendo totalmente.,1
El servicio es excelente y lo recomiendo totalmente.,1
No lo recomiendo.,0
"Muy satisfecho con mi compra, el envío fue rápido.",1
"El servicio fue excelente, aunque la atención al cliente fue mala.",0
El producto fue excelente y el envío fue rápido.,1
Mala atención al cliente. Fue una pérdida de dinero.,0
